problem_id,time_initial_heuristic,time_MOSA,time_MOIWOA,total_time
0,0.02851066699997773,1.3962883680000004,242.75169487200003,244.176493907
0,0.015844736999952147,1.19740566400003,240.47628489299996,241.68953529399994
0,0.013760062999949696,1.1693596650000018,5.112535600000001,6.2956553279999525
0,0.01400979900006405,1.1486670429999322,232.9142206030001,234.0768974450001
0,0.01363846599997487,1.1763844019999397,5.190350067000054,6.3803729349999685
1,0.019646303000172338,0.847902976000114,5.655267483000216,6.522816762000502
1,0.01797369299993079,0.8610143529999732,247.31938551100006,248.19837355699997
1,0.017939932999979646,0.8716926929998863,44.58745805700005,45.477090682999915
1,0.018590490999940812,0.8537461389998953,74.15485505900006,75.02719168899989
1,0.019178942000053212,0.8696560870000667,210.05023158300014,210.93906661200026
2,0.019384580999940226,1.4346704510001018,188.85256143800007,190.3066164700001
2,0.018251973000133148,1.42357709099997,169.31803627499994,170.75986533900004
2,0.020043009000119127,1.4488422970000556,7.92100402899996,9.389889335000134
2,0.018480904000170995,1.430295231999935,8.014732592999962,9.463508729000068
2,0.019301747000099567,1.4557667019998917,160.8107443529998,162.28581280199978
3,0.028179554999951506,1.8433607229999325,186.40399212700004,188.27553240499992
3,0.027175803999853088,1.9107630180001252,153.435573708,155.37351252999997
3,0.02729440400025851,1.8926811609999277,294.62472123800035,296.54469680300053
3,0.029590567000013834,1.8395992690002458,234.03729936599984,235.9064892020001
3,0.029397653000160062,1.8879520580003373,241.03800517100035,242.95535488200085
4,0.07615917100019942,7.54841954099993,115.45877447600014,123.08335318800027
4,0.07392007199996442,7.734765480999613,187.58566592600027,195.39435147899985
4,0.06814442399991094,7.5117703149999215,165.31242492499996,172.8923396639998
4,0.0713552979996166,7.693789675000062,124.47818864400006,132.24333361699973
4,0.08187191199976951,8.17072645799999,154.50209330800044,162.7546916780002
5,0.07381599600012123,2.865352086000712,258.04146138599936,260.9806294680002
5,0.0719299559996216,2.8736697360000107,219.20410406800056,222.1497037600002
5,0.0706088560000353,2.8727810500004125,66.03284305499983,68.97623296100028
5,0.07214030800059845,2.835699305000162,121.55303132399968,124.46087093700044
5,0.07344582800033095,2.847399518000202,280.89246040000035,283.8133057460009
6,0.10284126700025809,8.715558386000339,344.5433661730003,353.3617658260009
6,0.10127957799977594,8.767599746000087,25.11880128499979,33.98768060899965
6,0.1024476290003804,8.823010168999645,361.1526922029998,370.0781500009998
6,0.09982025000044814,8.954437751999649,322.0745307729994,331.1287887749995
6,0.10381641799995123,8.75081381400014,359.85305179699935,368.70768202899944
7,0.12787057900004584,5.367357971999809,438.464325508,443.95955405899986
7,0.12831705999997212,5.4182397569993554,27.78559907699946,33.33215589399879
7,0.1281203500002448,5.539870889000667,18.731961367000622,24.399952606001534
7,0.13209396500042203,5.59345741099969,429.7695855129996,435.4951368889997
7,0.12921430400001555,5.382056796000143,199.71492263399978,205.22619373399993
8,0.17952415800027666,13.066107921999901,44.836463693999576,58.082095773999754
8,0.17656641800022044,13.516554363999603,51.81581749799989,65.50893827999971
8,0.1783032640005331,13.71651589999965,42.850070068000605,56.74488923200079
8,0.17597917500006588,13.290045132999694,745.3753561389995,758.8413804469992
8,0.18209939100051997,13.334615089999716,842.9913079779999,856.5080224590001
